time,open,high,low,close,volume
2025-07-21 18:50:00+00:00,1.16906,1.16931,1.16904,1.1693,266.0
2025-07-21 18:55:00+00:00,1.1693,1.16946,1.16928,1.16938,339.0
2025-07-21 19:00:00+00:00,1.1694,1.16946,1.16918,1.16921,309.0
2025-07-21 19:05:00+00:00,1.16923,1.16962,1.16922,1.1695,285.0
2025-07-21 19:10:00+00:00,1.16949,1.16962,1.16949,1.1696,274.0
2025-07-21 19:15:00+00:00,1.16959,1.16959,1.1693,1.16934,322.0
2025-07-21 19:20:00+00:00,1.16936,1.16938,1.16915,1.16916,348.0
2025-07-21 19:25:00+00:00,1.16916,1.16921,1.16906,1.1691,361.0
2025-07-21 19:30:00+00:00,1.16911,1.16924,1.16903,1.16922,388.0
2025-07-21 19:35:00+00:00,1.16922,1.16942,1.16906,1.16942,212.0
2025-07-21 19:40:00+00:00,1.16942,1.1695,1.16939,1.16941,172.0
2025-07-21 19:45:00+00:00,1.1694,1.16946,1.16931,1.16942,162.0
2025-07-21 19:50:00+00:00,1.16944,1.16949,1.16899,1.169,192.0
2025-07-21 19:55:00+00:00,1.16899,1.16916,1.16894,1.16896,253.0
2025-07-21 20:00:00+00:00,1.16896,1.16902,1.1689,1.16898,242.0
2025-07-21 20:05:00+00:00,1.16899,1.16908,1.16896,1.16898,203.0
2025-07-21 20:10:00+00:00,1.16897,1.16898,1.16888,1.16894,302.0
2025-07-21 20:15:00+00:00,1.16894,1.16898,1.16882,1.1689,199.0
2025-07-21 20:20:00+00:00,1.16889,1.16897,1.16887,1.16895,162.0
2025-07-21 20:25:00+00:00,1.16896,1.16909,1.16891,1.16897,178.0
2025-07-21 20:30:00+00:00,1.16898,1.16899,1.16892,1.16896,189.0
2025-07-21 20:35:00+00:00,1.16895,1.16923,1.16895,1.1692,206.0
2025-07-21 20:40:00+00:00,1.16918,1.1692,1.16914,1.1692,132.0
2025-07-21 20:45:00+00:00,1.16919,1.16946,1.16915,1.16941,255.0
2025-07-21 20:50:00+00:00,1.1694,1.16945,1.16934,1.16934,162.0
2025-07-21 20:55:00+00:00,1.16933,1.1697,1.16925,1.16956,476.0
2025-07-21 21:00:00+00:00,1.16928,1.16928,1.16928,1.16928,1.0
2025-07-21 21:05:00+00:00,1.16926,1.16933,1.16926,1.1693,24.0
2025-07-21 21:10:00+00:00,1.16928,1.16932,1.16926,1.1693,21.0
2025-07-21 21:15:00+00:00,1.16928,1.16934,1.16927,1.1693,25.0
2025-07-21 21:20:00+00:00,1.16931,1.16932,1.16924,1.16931,10.0
2025-07-21 21:25:00+00:00,1.16932,1.16937,1.16926,1.16926,15.0
2025-07-21 21:30:00+00:00,1.16929,1.1693,1.16926,1.16929,11.0
2025-07-21 21:35:00+00:00,1.16934,1.16949,1.16934,1.16938,135.0
2025-07-21 21:40:00+00:00,1.16938,1.16942,1.16932,1.16936,59.0
2025-07-21 21:45:00+00:00,1.1694,1.16947,1.16938,1.16946,65.0
2025-07-21 21:50:00+00:00,1.16944,1.16946,1.16936,1.1694,48.0
2025-07-21 21:55:00+00:00,1.16938,1.16942,1.1692,1.16927,109.0
2025-07-21 22:00:00+00:00,1.1693,1.1695,1.1693,1.1694,153.0
2025-07-21 22:05:00+00:00,1.16938,1.1694,1.16915,1.16936,81.0
2025-07-21 22:10:00+00:00,1.16937,1.1694,1.16932,1.16934,33.0
2025-07-21 22:15:00+00:00,1.16936,1.16944,1.16936,1.16942,55.0
2025-07-21 22:20:00+00:00,1.16941,1.16942,1.16936,1.16936,27.0
2025-07-21 22:25:00+00:00,1.16935,1.16944,1.16934,1.16936,112.0
2025-07-21 22:30:00+00:00,1.16936,1.1694,1.16934,1.16938,43.0
2025-07-21 22:35:00+00:00,1.16939,1.16946,1.16934,1.16946,37.0
2025-07-21 22:40:00+00:00,1.16946,1.16948,1.16938,1.16944,40.0
2025-07-21 22:45:00+00:00,1.16942,1.16948,1.16932,1.16933,56.0
2025-07-21 22:50:00+00:00,1.16932,1.16942,1.16932,1.16936,144.0
2025-07-21 22:55:00+00:00,1.16936,1.16948,1.16932,1.16948,85.0
2025-07-21 23:00:00+00:00,1.16944,1.16948,1.16942,1.16943,50.0
2025-07-21 23:05:00+00:00,1.16942,1.16946,1.16936,1.16942,145.0
2025-07-21 23:10:00+00:00,1.1694,1.1694,1.16924,1.16925,61.0
2025-07-21 23:15:00+00:00,1.16924,1.16924,1.16913,1.1692,55.0
2025-07-21 23:20:00+00:00,1.16919,1.16922,1.16915,1.16916,85.0
2025-07-21 23:25:00+00:00,1.16915,1.16919,1.16906,1.16911,109.0
2025-07-21 23:30:00+00:00,1.1691,1.16934,1.16907,1.16934,87.0
2025-07-21 23:35:00+00:00,1.16934,1.16935,1.16913,1.16919,107.0
2025-07-21 23:40:00+00:00,1.16918,1.1693,1.1691,1.16926,108.0
2025-07-21 23:45:00+00:00,1.16926,1.16946,1.16917,1.16944,106.0
2025-07-21 23:50:00+00:00,1.16945,1.1696,1.16945,1.16954,66.0
2025-07-21 23:55:00+00:00,1.16953,1.16956,1.1694,1.1695,141.0
2025-07-22 00:00:00+00:00,1.1695,1.16956,1.16891,1.169,544.0
2025-07-22 00:05:00+00:00,1.169,1.16902,1.1687,1.16872,190.0
2025-07-22 00:10:00+00:00,1.16872,1.16876,1.16842,1.16843,307.0
2025-07-22 00:15:00+00:00,1.16842,1.16864,1.16838,1.16848,241.0
2025-07-22 00:20:00+00:00,1.16848,1.16852,1.16836,1.16848,200.0
2025-07-22 00:25:00+00:00,1.16848,1.16889,1.16848,1.16888,231.0
2025-07-22 00:30:00+00:00,1.16888,1.16903,1.16873,1.16892,246.0
2025-07-22 00:35:00+00:00,1.16892,1.16911,1.16889,1.1691,217.0
2025-07-22 00:40:00+00:00,1.1691,1.16933,1.16896,1.16925,253.0
2025-07-22 00:45:00+00:00,1.16926,1.16928,1.16912,1.16912,194.0
2025-07-22 00:50:00+00:00,1.16913,1.16921,1.16874,1.16882,577.0
2025-07-22 00:55:00+00:00,1.16882,1.16906,1.16879,1.16885,359.0
2025-07-22 01:00:00+00:00,1.16886,1.16904,1.16876,1.16882,250.0
2025-07-22 01:05:00+00:00,1.1688,1.16894,1.16868,1.1689,232.0
2025-07-22 01:10:00+00:00,1.16888,1.16898,1.16884,1.16889,135.0
2025-07-22 01:15:00+00:00,1.16892,1.16901,1.16865,1.16884,234.0
2025-07-22 01:20:00+00:00,1.16885,1.16898,1.1686,1.1686,208.0
2025-07-22 01:25:00+00:00,1.16858,1.16878,1.16857,1.16866,148.0
2025-07-22 01:30:00+00:00,1.16867,1.16902,1.16866,1.16874,189.0
2025-07-22 01:35:00+00:00,1.16873,1.16884,1.16832,1.16838,300.0
2025-07-22 01:40:00+00:00,1.1684,1.16848,1.16826,1.16837,239.0
2025-07-22 01:45:00+00:00,1.16836,1.16872,1.16832,1.16871,206.0
2025-07-22 01:50:00+00:00,1.1687,1.16881,1.16845,1.16852,224.0
2025-07-22 01:55:00+00:00,1.16855,1.16892,1.1685,1.16882,420.0
2025-07-22 02:00:00+00:00,1.16882,1.16908,1.16882,1.16904,388.0
2025-07-22 02:05:00+00:00,1.16904,1.1691,1.1689,1.16908,196.0
2025-07-22 02:10:00+00:00,1.16908,1.16947,1.16908,1.16947,140.0
2025-07-22 02:15:00+00:00,1.16947,1.16952,1.16941,1.16949,194.0
2025-07-22 02:20:00+00:00,1.1695,1.16956,1.16942,1.16956,105.0
2025-07-22 02:25:00+00:00,1.16954,1.16956,1.16912,1.16912,217.0
2025-07-22 02:30:00+00:00,1.16912,1.16912,1.16901,1.16907,89.0
2025-07-22 02:35:00+00:00,1.16906,1.16912,1.16894,1.169,155.0
2025-07-22 02:40:00+00:00,1.16901,1.16906,1.16884,1.16902,193.0
2025-07-22 02:45:00+00:00,1.16902,1.1692,1.16897,1.16912,149.0
2025-07-22 02:50:00+00:00,1.16912,1.16922,1.1691,1.16916,126.0
2025-07-22 02:55:00+00:00,1.16913,1.16918,1.16899,1.16907,164.0
2025-07-22 03:00:00+00:00,1.16906,1.16912,1.16884,1.16887,210.0
2025-07-22 03:05:00+00:00,1.16886,1.16887,1.16862,1.16867,183.0
2025-07-22 03:10:00+00:00,1.16866,1.16872,1.16852,1.16861,128.0
2025-07-22 03:15:00+00:00,1.1686,1.16884,1.16857,1.16873,160.0
2025-07-22 03:20:00+00:00,1.16872,1.16874,1.16864,1.16867,142.0
2025-07-22 03:25:00+00:00,1.16868,1.16892,1.16866,1.16888,177.0
2025-07-22 03:30:00+00:00,1.16888,1.16888,1.16866,1.16874,158.0
2025-07-22 03:35:00+00:00,1.16875,1.16888,1.16868,1.16888,122.0
2025-07-22 03:40:00+00:00,1.1689,1.16896,1.16883,1.16896,139.0
2025-07-22 03:45:00+00:00,1.16896,1.16902,1.16883,1.16883,189.0
2025-07-22 03:50:00+00:00,1.16884,1.169,1.16875,1.16876,199.0
2025-07-22 03:55:00+00:00,1.16876,1.16878,1.16856,1.16872,182.0
2025-07-22 04:00:00+00:00,1.16874,1.16881,1.16866,1.16869,180.0
2025-07-22 04:05:00+00:00,1.16867,1.16886,1.16862,1.16883,137.0
2025-07-22 04:10:00+00:00,1.16882,1.16886,1.16872,1.16884,215.0
2025-07-22 04:15:00+00:00,1.16881,1.16912,1.16878,1.16912,263.0
2025-07-22 04:20:00+00:00,1.16914,1.16926,1.16908,1.16926,181.0
2025-07-22 04:25:00+00:00,1.16925,1.16934,1.16921,1.16928,216.0
2025-07-22 04:30:00+00:00,1.16929,1.16934,1.16926,1.16928,145.0
2025-07-22 04:35:00+00:00,1.16928,1.16928,1.169,1.169,127.0
2025-07-22 04:40:00+00:00,1.16901,1.16917,1.16894,1.16916,174.0
2025-07-22 04:45:00+00:00,1.16921,1.16946,1.16918,1.16942,194.0
2025-07-22 04:50:00+00:00,1.16944,1.16944,1.16913,1.16916,276.0
2025-07-22 04:55:00+00:00,1.16916,1.16918,1.16884,1.16884,239.0
2025-07-22 05:00:00+00:00,1.16884,1.16921,1.16878,1.16914,309.0
2025-07-22 05:05:00+00:00,1.16915,1.16922,1.16904,1.16909,165.0
2025-07-22 05:10:00+00:00,1.1691,1.1691,1.16884,1.16886,200.0
2025-07-22 05:15:00+00:00,1.16886,1.16887,1.16864,1.16875,308.0
2025-07-22 05:20:00+00:00,1.16876,1.16881,1.16856,1.16872,311.0
2025-07-22 05:25:00+00:00,1.16873,1.16892,1.16872,1.16882,177.0
2025-07-22 05:30:00+00:00,1.16882,1.16888,1.16874,1.16875,262.0
2025-07-22 05:35:00+00:00,1.16876,1.16888,1.16864,1.1688,193.0
2025-07-22 05:40:00+00:00,1.1688,1.16892,1.16864,1.16866,225.0
2025-07-22 05:45:00+00:00,1.16866,1.16868,1.16831,1.16843,316.0
2025-07-22 05:50:00+00:00,1.16844,1.16855,1.16834,1.16846,266.0
2025-07-22 05:55:00+00:00,1.16848,1.16882,1.16848,1.1687,262.0
2025-07-22 06:00:00+00:00,1.16871,1.16876,1.16849,1.1687,338.0
2025-07-22 06:05:00+00:00,1.16869,1.16887,1.16862,1.1687,282.0
2025-07-22 06:10:00+00:00,1.16868,1.16902,1.16868,1.16893,372.0
2025-07-22 06:15:00+00:00,1.16892,1.16914,1.16892,1.16898,262.0
2025-07-22 06:20:00+00:00,1.16897,1.16912,1.16864,1.16872,332.0
2025-07-22 06:25:00+00:00,1.16869,1.16886,1.16854,1.16858,297.0
2025-07-22 06:30:00+00:00,1.16857,1.16904,1.16854,1.16892,368.0
2025-07-22 06:35:00+00:00,1.16893,1.16904,1.16866,1.16892,366.0
2025-07-22 06:40:00+00:00,1.16895,1.16898,1.16852,1.16858,323.0
2025-07-22 06:45:00+00:00,1.16856,1.1689,1.16855,1.16888,325.0
2025-07-22 06:50:00+00:00,1.16888,1.16888,1.16858,1.16858,322.0
2025-07-22 06:55:00+00:00,1.16857,1.16924,1.16843,1.16908,919.0
2025-07-22 07:00:00+00:00,1.16907,1.16924,1.1688,1.1692,892.0
2025-07-22 07:05:00+00:00,1.1692,1.1692,1.16857,1.16864,364.0
2025-07-22 07:10:00+00:00,1.16867,1.16884,1.16856,1.16864,389.0
2025-07-22 07:15:00+00:00,1.16864,1.1687,1.16832,1.1685,437.0
2025-07-22 07:20:00+00:00,1.16852,1.1688,1.16847,1.16858,426.0
2025-07-22 07:25:00+00:00,1.16859,1.16894,1.16858,1.16886,358.0
2025-07-22 07:30:00+00:00,1.16887,1.16899,1.16882,1.16888,297.0
2025-07-22 07:35:00+00:00,1.16887,1.169,1.16881,1.16892,226.0
2025-07-22 07:40:00+00:00,1.16891,1.16896,1.16864,1.16891,323.0
2025-07-22 07:45:00+00:00,1.16892,1.16892,1.1688,1.16883,384.0
2025-07-22 07:50:00+00:00,1.16884,1.16884,1.16818,1.16846,562.0
2025-07-22 07:55:00+00:00,1.16844,1.16882,1.16842,1.1686,728.0
2025-07-22 08:00:00+00:00,1.1686,1.1691,1.1684,1.16908,593.0
2025-07-22 08:05:00+00:00,1.16909,1.16954,1.16904,1.1691,599.0
2025-07-22 08:10:00+00:00,1.16914,1.16931,1.16895,1.16898,456.0
2025-07-22 08:15:00+00:00,1.16897,1.16916,1.16886,1.169,438.0
2025-07-22 08:20:00+00:00,1.16898,1.16917,1.16887,1.16909,347.0
2025-07-22 08:25:00+00:00,1.1691,1.1692,1.16897,1.16902,384.0
2025-07-22 08:30:00+00:00,1.16903,1.16977,1.16896,1.16966,630.0
